Handle,Title,Body (HTML),Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Cost per item,Image Src,product.metafields.custom.original_prodect_url,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,product.metafields.custom.brand,product.metafields.custom.typeitem,Type,Vendor,Published
coach-outlet-carmen-mini-crossbody-bag-1,carmen mini crossbody bag,Pearlized smooth leather Inside zip pocket Zip-top closure fabric lining Handles with 5 drop Detachable strap with 23 1/2 drop for shoulder or crossbody wear 7 3/4 (L) x 4 (H) x 2 1/2 (W) Style No. CBI46 | Coach Outlet Carmen Mini Crossbody Bag - Pink,,Size,Adult - Women,Color,,1672.99,1286.25,,https://shop.simon.com/products/coach-outlet-carmen-mini-crossbody-bag-1,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
puma-x-harry-potter-big-kids-baby-tee,x harry potter big kids' baby tee,"PRODUCT STORY Join the PUMA Quidditch™ team with this magical tee. Featuring metallic crest prints, a hidden Golden Snitch™, and a co-branded sign-off at the back. Perfect for adding a touch of wizardry to your everyday adventures. DETAILS Slim fit Single jersey Cropped length Crew neck Short sleeves PUMA branding details PUMA Big Kids -  Recommended for older kids between 8 and 16 years",m color m size,Size,Child,Color,dark myrtle,119.99,91.88,https://shop.simon.com/cdn/shop/files/ad822cd2607d4639ba510c27e575682e_1080x.jpg?v=1752801429,https://shop.simon.com/products/puma-x-harry-potter-big-kids-baby-tee?crpid=8598490742844,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
puma-x-harry-potter-big-kids-baby-tee,,,,,, ,dark crimson,,,https://shop.simon.com/cdn/shop/files/ad822cd2607d4639ba510c27e575682e_1080x.jpg?v=1752801429,,,,,Coach Outlet,Handbag,,,
puma-x-harry-potter-womens-polo-shirt,x harry potter women's polo shirt,"Add some magic to your look with PUMA x HARRY POTTER. This new collab is a mashup of Quidditch™ and soccer aesthetics, reinterpreting Gryffindor™ and Slytherin™team uniforms with classic streetwear and terrace cues. Soccer shirts, T7 track suits, and other essentials feature Hogwarts™-inspired details and a Golden Snitch™ embroidered on each piece. Rounded off with classic kicks like Palermo and Easy Rider, this collection is serving spellbinding style, whether you live in the Muggle™ world or the wizarding world.",s color m size,Size,Adult - Women,Color,dark myrtle,214.99,165.38,//shop.simon.com/cdn/shop/files/655bd19fe4674db0bd5a879c17c65970_1800x1800.jpg?v=1752816577,https://shop.simon.com/products/puma-x-harry-potter-womens-polo-shirt?crpid=8598900539452,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/4646cc0f6bbc4f1bb0db3f53f5c5ec52_1800x1800.jpg?v=1752816577,,,,,,,,,
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/a82d7ee4073641339bd2cee77418074f_1800x1800.jpg?v=1752816577,,,,,,,,,
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/5b97a5d3785f4edd92cefe3216097f44_1800x1800.jpg?v=1752816577,,,,,,,,,
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/575baf84457d41fdbb076e0b7ee774ac_1800x1800.jpg?v=1752816577,,,,,,,,,
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/8fa13f6d9d8b42bb8bff3f0c5cfe243b_1800x1800.jpg?v=1752816577,,,,,,,,,
puma-x-harry-potter-womens-polo-shirt,,,,,,,dark myrtle,,,//shop.simon.com/cdn/shop/files/61ab94191a4d47bdadf78cee283c3396_1800x1800.jpg?v=1752816577,,,,,,,,,